
;────────────
;범용 캐릭터 라인 변수
;────────────

;<※>       현재 정의(대입)를 하지 않은플래그
;! 말소 예정! 말소 예정플래그(주로 후방 호환이기 때문에 존재)

;────────────────────────────────────
;조교지령 명칭(ACT) 통상행동 0-199
;────────────────────────────────────

;-------------------------------------------------
;회화계
;-------------------------------------------------
0,지금 기분을 물어본다
1,자신을 어떻게 생각하는지 물어본다
2,성적인 이야기를 한다
3,상냥하게 위로한다
4,엄하게 위협한다
5,의상 변경을 요구한다
6,합의를 요구한다
7,징계한다고 위협한다
8,고함치다
9,기분 나쁘게 웃는다

;-------------------------------------------------
;애무계
;-------------------------------------------------
10,손으로 애무
11,가슴애무
12,입으로 애무
13,애널애무
14,항문펠라
15,키스
16,성기를 서로 비빈다
17,파이즈리한다
18,풋잡하기
19,손가락삽입

;-------------------------------------------------
;도구계
;-------------------------------------------------
20,로터
21,바이브
22,애널바이브
23,애널비즈
24,Ｃ애무도구
25,유두캡
26,페니스밴드

;-------------------------------------------------
;애무계
;-------------------------------------------------
27,밀어 넘어트린다

;-------------------------------------------------
;성교계
;-------------------------------------------------
30,정상위
31,후배위
32,기승위
33,대면좌위
34,배면좌위

;-------------------------------------------------
;수치계
;-------------------------------------------------
40,자위
41,음부공개
42,자위과시
43,수치플레이
44,야외플레이
45,방뇨
46,코스프레

;-------------------------------------------------
;봉사계
;-------------------------------------------------
50,손으로 애무를 강요
51,입으로 애무를 강요
52,파이즈리
53,스마타
55,발핥기강제
56,이라마치오
57,가슴애무강제

;-------------------------------------------------
;가학계
;-------------------------------------------------
60,스펭킹
61,채찍
62,바늘
63,밧줄
64,눈가리개
65,볼개그
66,매도
67,삼각목마
68,관장세트

;-------------------------------------------------
;이상계
;-------------------------------------------------
70,피스트퍽
71,애널피스트
72,양쪽피스트
73,방치플레이
74,공중육변기플레이
75,페니스밴드장착

;-------------------------------------------------
;사역계（미구현）
;-------------------------------------------------
80,촉수소환

;-------------------------------------------------
;휴식계
;-------------------------------------------------
90,휴식시킨다
91,영양제를 먹인다
92,치료한다

;-------------------------------------------------
;성교봉사계
;-------------------------------------------------
95,정상위시킨다
96,후배위시킨다
97,대면좌위시킨다
98,배면좌위시킨다
99,항문섹스시킨다
103,역강간

;-------------------------------------------------
;에라죠죠 참고해서, 기타 여러가지 커멘드 추가
;사랑을 고백 - 회화, 목조르기 - 가학, 짓밟기,저온초 - 이상, 다정하게 - 휴식
;애널섹스 체위 추가 - 성교계(성봉계는 추가 안함), 역애널강간 - 성봉계
